domain,source_order,source_journal_name,impact_factor,jcr_value,cass_value,issn_l,print_issn,eissn,all_issns,crossref_publisher,resolution_status,pubmed_supported,pubmed_record_count,pubmed_checked_at,source_url,verification_status
medicine,1,CA-A Cancer Journal for Clinicians,232.4,肿瘤学-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,2,Nature Reviews Drug Discovery,101.8,"生物工程与应用微生物-1区
药学-1区",1区,,1474-1776,1474-1784,"[""1474-1776"",""1474-1784""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,3,Kidney International Supplements,89.6,泌尿学与肾脏学-1区,2区,,2157-1724,2157-1716,"[""2157-1716"",""2157-1724""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,4,Lancet,88.5,医学：内科-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,5,Nature Reviews Clinical Oncology,82.2,肿瘤学-1区,1区,,1759-4774,1759-4782,"[""1759-4774"",""1759-4782""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,6,New England Journal of Medicine,78.5,医学：内科-1区,1区,,0028-4793,1533-4406,"[""0028-4793"",""1533-4406""]",New England Journal of Medicine,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,7,Nature Reviews Cancer,66.8,肿瘤学-1区,1区,,1474-175X,1474-1768,"[""1474-175X"",""1474-1768""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,8,World Psychiatry,65.8,精神病学-1区,1区,,1723-8617,2051-5545,"[""1723-8617"",""2051-5545""]",Wiley (John Wiley & Sons),resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,9,Annals of Oncology,65.4,肿瘤学-1区,1区,,0923-7534,1569-8041,"[""0923-7534"",""1569-8041""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,10,Nature Reviews Immunology,60.9,免疫学-1区,1区,,1474-1741,1474-1741,"[""1474-1733"",""1474-1741""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,11,Nature Reviews Disease Primers,60.6,医学：内科-1区,1区,,,2056-676X,"[""2056-676X""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,12,Mmwr Recommendations and Reports,60.1,公共卫生、环境卫生与职业卫生-1区,1区,,1057-5987,1545-8601,"[""1057-5987"",""1545-8601""]",Centers for Disease Control MMWR Office,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,13,JAMA-Journal of the American Medical Association,55.0,医学：内科-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,14,Signal Transduction and Targeted Therapy,52.7,"生化与分子生物学-1区
细胞生物学-1区",1区,,,2059-3635,"[""2059-3635""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,15,Nature Reviews Gastroenterology & Hepatology,51.0,胃肠肝病学-1区,1区,,1759-5045,1759-5053,"[""1759-5045"",""1759-5053""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,16,Nature Medicine,50.0,"生化与分子生物学-1区
细胞生物学-1区
医学：研究与实验-1区",1区,,1078-8956,1546-170X,"[""1078-8956"",""1546-170X""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,17,Mmwr Surveillance Summaries,49.8,公共卫生、环境卫生与职业卫生-1区,1区,,1546-0738,1545-8636,"[""1545-8636"",""1546-0738""]",Centers for Disease Control MMWR Office,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,18,Lancet Neurology,45.5,临床神经病学-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,19,Cancer Cell,44.5,"细胞生物学-1区
肿瘤学-1区",1区,,1535-6108,,"[""1535-6108""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,20,Nature Reviews Cardiology,44.2,心脏和心血管系统-1区,1区,,1759-5002,1759-5010,"[""1759-5002"",""1759-5010""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,21,BMJ-British Medical Journal,42.7,医学：内科-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,22,Journal of Clinical Oncology,41.9,肿瘤学-1区,1区,,0732-183X,1527-7755,"[""0732-183X"",""1527-7755""]",American Society of Clinical Oncology,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,23,Lancet Diabetes & Endocrinology,41.8,内分泌学与代谢-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,24,Journal of Hematology & Oncology,40.4,"血液学-1区
肿瘤学-1区",1区,,1756-8722,1756-8722,"[""1756-8722""]",Springer (Biomed Central Ltd.),resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,25,Nature Reviews Endocrinology,40.0,内分泌学与代谢-1区,1区,,1759-5029,1759-5037,"[""1759-5029"",""1759-5037""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,26,Nature Reviews Nephrology,39.8,泌尿学与肾脏学-1区,1区,,1759-5061,1759-507X,"[""1759-5061"",""1759-507X""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,27,Lancet Gastroenterology & Hepatology,38.6,胃肠肝病学-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,28,Circulation,38.6,"心脏和心血管系统-1区
外周血管病-1区",1区,,0009-7322,1524-4539,"[""0009-7322"",""1524-4539""]",Ovid Technologies (Wolters Kluwer) - American Heart Association,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,29,Lancet Oncology,35.9,肿瘤学-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,30,European Heart Journal,35.6,心脏和心血管系统-1区,1区,,0195-668X,1522-9645,"[""0195-668X"",""1522-9645""]",Oxford University Press,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,31,Annual Review of Pathology-Mechanisms of Disease,34.5,病理学-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,32,Molecular Cancer,33.9,"生化与分子生物学-1区
肿瘤学-1区",1区,,1476-4598,1476-4598,"[""1476-4598""]",Springer (Biomed Central Ltd.),resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,33,Annual Review of Immunology,33.3,免疫学-1区,1区,,0732-0582,1545-3278,"[""0732-0582"",""1545-3278""]",Annual Reviews,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,34,Cancer Discovery,33.3,肿瘤学-1区,1区,,2159-8274,2159-8290,"[""2159-8274"",""2159-8290""]",American Association for Cancer Research,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,35,Nature Reviews Neurology,33.1,临床神经病学-1区,1区,,1759-4758,1759-4766,"[""1759-4758"",""1759-4766""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,36,Journal of Hepatology,33.0,胃肠肝病学-1区,1区,,0168-8278,0168-8278,"[""0168-8278""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,37,Lancet Respiratory Medicine,32.8,"危重病医学-1区
呼吸系统-1区",1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,38,Nature Reviews Rheumatology,32.7,风湿病学-1区,1区,,1759-4790,1759-4804,"[""1759-4790"",""1759-4804""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,39,Lancet Infectious Diseases,31.0,传染病学-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,40,Physiological Reviews,28.7,生理学-1区,1区,,0031-9333,1522-1210,"[""0031-9333"",""1522-1210""]",American Physiological Society,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,41,Nature Cancer,28.5,肿瘤学-1区,1区,,,2662-1347,"[""2662-1347""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,42,Nature Immunology,27.6,免疫学-1区,1区,,1529-2908,1529-2916,"[""1529-2908"",""1529-2916""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,43,Nature Reviews Neuroscience,26.7,神经科学-1区,1区,,1471-0048,1471-0048,"[""1471-003X"",""1471-0048""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,44,Nature Biomedical Engineering,26.6,工程：生物医学-1区,1区,,,2157-846X,"[""2157-846X""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,45,Immunity,26.3,免疫学-1区,1区,,1074-7613,,"[""1074-7613""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,46,Gut,25.8,胃肠肝病学-1区,1区,,0017-5749,1468-3288,"[""0017-5749"",""1468-3288""]",BMJ,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,47,Lancet Public Health,25.2,公共卫生、环境卫生与职业卫生-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,48,European Urology,25.2,泌尿学与肾脏学-1区,1区,,0302-2838,1421-993X,"[""0302-2838"",""1421-993X"",""1873-7560""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,49,Gastroenterology,25.1,胃肠肝病学-1区,1区,,,,[],,ambiguous,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,50,Cancer Communications,24.9,肿瘤学-1区,1区,,,,[],,ambiguous,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,51,Lancet Psychiatry,24.8,精神病学-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,52,Lancet Digital Health,24.1,"医学：信息-1区
医学：内科-1区",1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,53,JAMA Internal Medicine,23.3,医学：内科-1区,1区,,2168-6106,,"[""2168-6106""]",American Medical Association,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,54,Blood,23.1,血液学-1区,1区,,0006-4971,1528-0020,"[""0006-4971"",""1528-0020""]",American Society of Hematology,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,55,Military Medical Research,22.9,医学：内科-1区,1区,,2095-7467,2054-9369,"[""2054-9369"",""2095-7467""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,56,Journal of the American College of Cardiology,22.3,心脏和心血管系统-1区,1区,,0735-1097,,"[""0735-1097""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,57,Annual Review of Medicine,22.1,医学：研究与实验-1区,1区,,0066-4219,1545-326X,"[""0066-4219"",""1545-326X""]",Annual Reviews,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,58,Endocrine Reviews,22.0,内分泌学与代谢-1区,1区,,0163-769X,1945-7189,"[""0163-769X"",""1945-7189""]",The Endocrine Society,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,59,Drug Resistance Updates,21.7,药学-1区,1区,,1368-7646,,"[""1368-7646""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,60,Lancet Planetary Health,21.6,"环境科学-1区
公共卫生、环境卫生与职业卫生-1区",1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,61,JAMA Neurology,21.3,临床神经病学-1区,1区,,2168-6149,,"[""2168-6149""]",American Medical Association,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,62,Intensive Care Medicine,21.2,危重病医学-1区,1区,,0342-4642,1432-1238,"[""0342-4642"",""1432-1238""]",Springer-Verlag,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
